crop_name,seed_name,rainfall,soil,irrigation,sowing_time,maturity_time,seed_rate,avg_yeild,fertilizer,pesticide,location,special_feature,
Ragi,Champavathi," It requires 800 mm to 1,200 mm of water with extremes between 520 mm and 2,550 mm during the growing season.",It is cultivated mostly in red lateritic soils.,It is suited for cultivation in areas with annual rainfall of 700-1200mm. it does not tolerate heavy rainfall and requires a dry spell at the time of grain ripening. ,"The sowing time is between Kar or Early Kharif (April - August),Kharif (July - November),Late kharif (August - November) ,Rabi (October -September) Summer (January - May)",Time taken to mature is 90-95 days.,Seed requirement is 10 to 15 kg per hectare,It has an yield potential of 20-25 q/ha.,50% of recommended nitrogen is to be applied at sowing and the remaining 50% in two equal splits at 25-30 and 40-45 days after sowing.,"Any  one of the insecticides- monocrotophos 1.6 ml, Chlorpyriphos 2.5 ml or Quinalphos 2.5 ml or Acephate 1 gm or Carbaryl 3 gm or Cartap hydrochloride2 gm/lit to be sprayed  two times at 10 days interval or apply cartap hydrochloride 4G 10Kg/acre","Suitable region in Karnataka are Bangalore,Kolar,Tumkur,Shimoga,Mysore,Davanagere etc.",Photo insensitive& early maturity,
Jowar,HC 171,It thrives well at a temperature between 25°C and 32°C but below 16°C is not good for the crop. Jowar crop requires rainfall about 40 cm annually.,Grows well in loam soils having good drainage. Soil pH range of 6 to 7.5 is ideal for its cultivation and better growth.,It requires 450 to 650 l of water ,The sowing time is between 5th September to 15th October.,Time taken to mature is 180-240 days.,Seed requirement is 8 kg seed/ha,It has an yield potential of  25-35 quintals per hectare. ,"Recommended dose of fertilizer for sweet sorghum in soils with normal fertility levels is 80kg of nitrogen, 60 kg of phosphorous and 40 kg of potassium.",Shoot fly can be managed by the soil application of Carbofuran 3G at 8 to 10 kg/ha.,Predominantly grown in districts of Northern Karnataka.,These are drought- and heat-tolerant.,
Jowar,HC 260,It thrives well at a temperature between 25°C and 32°C but below 16°C is not good for the crop. Jowar crop requires rainfall about 40 cm annually.,Grows well in loam soils having good drainage. Soil pH range of 6 to 7.5 is ideal for its cultivation and better growth.,It requires 450 to 650 l of water ,The sowing time is between 5th September to 15th October.,Time taken to mature is 180-240 days.,Seed requirement is 8 kg seed/ha,It has an yield potential of  25-35 quintals per hectare. ,"Recommended dose of fertilizer for sweet sorghum in soils with normal fertility levels is 80kg of nitrogen, 60 kg of phosphorous and 40 kg of potassium.",Shoot fly can be managed by the soil application of Carbofuran 3G at 8 to 10 kg/ha.,Predominantly grown in districts of Northern Karnataka.,These are drought- and heat-tolerant.,
Jowar,MP Chari,It thrives well at a temperature between 25°C and 32°C but below 16°C is not good for the crop. Jowar crop requires rainfall about 40 cm annually.,Grows well in loam soils having good drainage. Soil pH range of 6 to 7.5 is ideal for its cultivation and better growth.,It requires 450 to 650 l of water ,The sowing time is between 5th September to 15th October.,Time taken to mature is 180-240 days.,Seed requirement is 8 kg seed/ha,It has an yield potential of  25-35 quintals per hectare. ,"Recommended dose of fertilizer for sweet sorghum in soils with normal fertility levels is 80kg of nitrogen, 60 kg of phosphorous and 40 kg of potassium.",Shoot fly can be managed by the soil application of Carbofuran 3G at 8 to 10 kg/ha.,Predominantly grown in districts of Northern Karnataka.,These are drought- and heat-tolerant.,
Jowar,HC 136  ,It thrives well at a temperature between 25°C and 32°C but below 16°C is not good for the crop. Jowar crop requires rainfall about 40 cm annually.,Grows well in loam soils having good drainage. Soil pH range of 6 to 7.5 is ideal for its cultivation and better growth.,It requires 450 to 650 l of water ,The sowing time is between 5th September to 15th October.,Time taken to mature is 180-240 days.,Seed requirement is 8 kg seed/ha,It has an yield potential of  25-35 quintals per hectare. ,"Recommended dose of fertilizer for sweet sorghum in soils with normal fertility levels is 80kg of nitrogen, 60 kg of phosphorous and 40 kg of potassium.",Shoot fly can be managed by the soil application of Carbofuran 3G at 8 to 10 kg/ha.,Predominantly grown in districts of Northern Karnataka.,These are drought- and heat-tolerant.,
Maize,BRMH-1,It mostly in grown regions having annual rainfall between 60 cm to 110 cm.,"Best suitable soil is deep, red rich soils , where there is abundant nitrogen.",It requires 500 to 800 liter of water,The sowing time is between May -August.,Time taken to mature is 120  days.,Seed requirement is 25 kg/ha,It has an yield potential of  22.5-6.6 quintals per hectare. ,Apply TNAU MN mixture  30 kg /ha,Fungicides are used as pesticide.,It is grown all around Kranataka.,Adaptability to harsh environmental conditions and still produce reasonable yields.,
Maize,COH(M)-8,It mostly in grown regions having annual rainfall between 60 cm to 110 cm.,"Best suitable soil is deep, red rich soils , where there is abundant nitrogen.",It requires 500 to 800 liter of water,The sowing time is between May -August.,Time taken to mature is 120  days.,Seed requirement is 25 kg/ha,It has an yield potential of  22.5-6.6 quintals per hectare. ,Apply TNAU MN mixture  30 kg /ha,Fungicides are used as pesticide.,It is grown all around Kranataka.,Adaptability to harsh environmental conditions and still produce reasonable yields.,
Maize,African Tall,It mostly in grown regions having annual rainfall between 60 cm to 110 cm.,"Best suitable soil is deep, red rich soils , where there is abundant nitrogen.",It requires 500 to 800 liter of water,The sowing time is between  May -August.,Time taken to mature is 120  days.,Seed requirement is 25 kg/ha,It has an yield potential of  22.5-6.6 quintals per hectare. ,Apply TNAU MN mixture  30 kg /ha,Fungicides are used as pesticide.,It is grown all around Kranataka.,Adaptability to harsh environmental conditions and still produce reasonable yields.,
Pulses,Black Gram,It requires a moderate amount of rainfall of 25-75 cms.,The most ideal soil would be a well drained loam with a pH range from 4.7 to 7.5. ,It requires 500 to 700 liter of water,"The sowing time is between (Kharif) May - August,(Rabi) September - February",Time taken to mature is 80 to 100 days.,Seed requirement is 20 kg/ha,The productivity remain less than 800 kg per ha.,"Apply fertilizers basally before sowing. Rainfed : 12.5 kg N + 25 kg P2O5 + 12.5 kg K2O +10 kg S*/ha, Irrigated : 25 kg N + 50 kg P2O5 + 25 kg K2O + 20 kg S*/ha",Foliar spray of NAA 40 mg/litre and Salicylic acid 100 mg/litre once at pre-flowering and another at 15 days thereafter,Suitable zone in Karnataka are West Coast Plains and Hills Region.,"It is an erect, suberect or trailing, densely hairy, annual herband one of the most highly prized pulses of India",
Pulses,Green Gram,It requires a moderate amount of rainfall of 25-75 cms.,The most ideal soil would be a well drained loam with a pH range from 4.7 to 7.5. ,It requires 500 to 700 liter of water,"The sowing time is between (Kharif) May - August,(Rabi) September - February",Time taken to mature is 80 to 100 days.,Seed requirement is 20 kg/ha,The productivity remain less than 800 kg per ha.,"Apply fertilizers basally before sowing. Rainfed : 12.5 kg N + 25 kg P2O5 + 12.5 kg K2O +10 kg S*/ha, Irrigated : 25 kg N + 50 kg P2O5 + 25 kg K2O + 20 kg S*/ha",Foliar spray of NAA 40 mg/litre and Salicylic acid 100 mg/litre once at pre-flowering and another at 15 days thereafter,Suitable zone in Karnataka are West Coast Plains and Hills Region.,Moderately resistant to powdery mildew and Yellow mosaic Indeterminate flowering,
Pulses,Groundnut,It requires a moderate amount of rainfall of 25-75 cms.,The most ideal soil would be a well drained loam with a pH range from 4.7 to 7.5. ,It requires 370 to 475 liter of water,"The sowing time is between (Kharif) May - August,(Rabi) September - February",Time taken to mature is 80 to 100 days.,Seed requirement is 20 kg/ha,The productivity remain less than 800 kg per ha.,"Apply fertilizers basally before sowing. Rainfed : 12.5 kg N + 25 kg P2O5 + 12.5 kg K2O +10 kg S*/ha, Irrigated : 25 kg N + 50 kg P2O5 + 25 kg K2O + 20 kg S*/ha",Foliar spray of NAA 40 mg/litre and Salicylic acid 100 mg/litre once at pre-flowering and another at 15 days thereafter,Suitable zone in Karnataka are West Coast Plains and Hills Region.,"Being an oil seed crop, it contains 40 to 49% oil. ",
Pulses,Split Green Gram,It requires a moderate amount of rainfall of 25-75 cms.,The most ideal soil would be a well drained loam with a pH range from 4.7 to 7.5. ,It requires 370 to 475 liter of water,"The sowing time is between (Kharif) May - August,(Rabi) September - February",Time taken to mature is 80 to 100 days.,Seed requirement is 20 kg/ha,The productivity remain less than 800 kg per ha.,"Apply fertilizers basally before sowing. Rainfed : 12.5 kg N + 25 kg P2O5 + 12.5 kg K2O +10 kg S*/ha, Irrigated : 25 kg N + 50 kg P2O5 + 25 kg K2O + 20 kg S*/ha",Foliar spray of NAA 40 mg/litre and Salicylic acid 100 mg/litre once at pre-flowering and another at 15 days thereafter,Suitable zone in Karnataka are West Coast Plains and Hills Region.,Moderately resistant to powdery mildew and Yellow mosaic Indeterminate flowering,
Pulses,Chick Peas,It requires a moderate amount of rainfall of 25-75 cms.,The most ideal soil would be a well drained loam with a pH range from 4.7 to 7.5. ,It requires 500 to 700 liter of water,"The sowing time is between (Kharif) May - August,(Rabi) September - February",Time taken to mature is 80 to 100 days.,Seed requirement is 20 kg/ha,The productivity remain less than 800 kg per ha.,"Apply fertilizers basally before sowing. Rainfed : 12.5 kg N + 25 kg P2O5 + 12.5 kg K2O +10 kg S*/ha, Irrigated : 25 kg N + 50 kg P2O5 + 25 kg K2O + 20 kg S*/ha",Foliar spray of NAA 40 mg/litre and Salicylic acid 100 mg/litre once at pre-flowering and another at 15 days thereafter,Suitable zone in Karnataka are West Coast Plains and Hills Region.,"Chickpea appears round and beige, other varieties can be black, green, and red.",
Cashew,Ullal 1,Areas where the temperatures range from 20 to 30°C with an annual precipitationof 1000 - 2000 mm,"For the best production deep, well-drained sandy or sandy-loam soil is recommended.",Yearly rainfall of 1 000 mm is sufficient for production but 1 500 to 2 000 mm can be regarded as optimal.,The sowing time is throught the year.,The duration of harvest is long (about 110 days).,Seed requirement is 160 tree per acre.,The average yield is 16 kg/tree.,10-15 kg of farmyard manure or compost annually is generally recommended forcashew.,Organochlorine pesticide are used as Pesticide.,"Suitable zone in Karnataka are Dakshina Kannada,Udupi, Belgaum, Chickballapur, Uttara Kannada, Kodagu and Kolar.",Proanthocyanidins are a class of flavonols which fight against tumor cells by stopping them to divide further. Healthy Heart: Lowers High Blood PressureProanthocyanidins are a class of flavonols which fight against tumor cells by stopping them to divide further. Healthy Heart: Lowers High Blood Pressure,
Cashew,Ullal 2,Areas where the temperatures range from 20 to 30°C with an annual precipitationof 1000 - 2000 mm,"For the best production deep, well-drained sandy or sandy-loam soil is recommended.",Yearly rainfall of 1 000 mm is sufficient for production but 1 500 to 2 000 mm can be regarded as optimal.,The sowing time is throught the year.,The variety is a late flowering type (December to March) with very short duration of harvest (85 days).,Seed requirement is 160 tree per acre.,The yield is about 9 kg/tree.,10-15 kg of farmyard manure or compost annually is generally recommended forcashew.,Organochlorine pesticide are used as Pesticide.,"Suitable zone in Karnataka are Dakshina Kannada,Udupi, Belgaum, Chickballapur, Uttara Kannada, Kodagu and Kolar.",Proanthocyanidins are a class of flavonols which fight against tumor cells by stopping them to divide further. Healthy Heart: Lowers High Blood PressureProanthocyanidins are a class of flavonols which fight against tumor cells by stopping them to divide further. Healthy Heart: Lowers High Blood Pressure,
Cashew,NRCC selection-1,Areas where the temperatures range from 20 to 30°C with an annual precipitationof 1000 - 2000 mm,"For the best production deep, well-drained sandy or sandy-loam soil is recommended.",Yearly rainfall of 1 000 mm is sufficient for production but 1 500 to 2 000 mm can be regarded as optimal.,The sowing time is throught the year.,It is a late flowering type (December – February) with a flowering duration of 82 days.,Seed requirement is 160 tree per acre.,"The yield, on an average, is 10 kg/tree.",10-15 kg of farmyard manure or compost annually is generally recommended forcashew.,Organochlorine pesticide are used as Pesticide.,"Suitable zone in Karnataka are Dakshina Kannada,Udupi, Belgaum, Chickballapur, Uttara Kannada, Kodagu and Kolar.",Proanthocyanidins are a class of flavonols which fight against tumor cells by stopping them to divide further. Healthy Heart: Lowers High Blood PressureProanthocyanidins are a class of flavonols which fight against tumor cells by stopping them to divide further. Healthy Heart: Lowers High Blood Pressure,
Cashew,Bhaskar,Areas where the temperatures range from 20 to 30°C with an annual precipitationof 1000 - 2000 mm,"For the best production deep, well-drained sandy or sandy-loam soil is recommended.",Yearly rainfall of 1 000 mm is sufficient for production but 1 500 to 2 000 mm can be regarded as optimal.,The sowing time is throught the year.,This is having midseason flowering habit (Dec-Mar) with a flowering duration of 60 days,Seed requirement is 160 tree per acre., The average yield on 13th year was 10.7 kg/tree with highest yield of 19 kg/tree.,10-15 kg of farmyard manure or compost annually is generally recommended forcashew.,Organochlorine pesticide are used as Pesticide.,"Suitable zone in Karnataka are Dakshina Kannada,Udupi, Belgaum, Chickballapur, Uttara Kannada, Kodagu and Kolar.",Proanthocyanidins are a class of flavonols which fight against tumor cells by stopping them to divide further. Healthy Heart: Lowers High Blood PressureProanthocyanidins are a class of flavonols which fight against tumor cells by stopping them to divide further. Healthy Heart: Lowers High Blood Pressure,
Cashew,Chintamani-1,Areas where the temperatures range from 20 to 30°C with an annual precipitationof 1000 - 2000 mm,"For the best production deep, well-drained sandy or sandy-loam soil is recommended.",Yearly rainfall of 1 000 mm is sufficient for production but 1 500 to 2 000 mm can be regarded as optimal.,The sowing time is throught the year.,Its flowering period is from January to April with 2-4 nuts per panicle.,Seed requirement is 160 tree per acre., The average yield of this variety is 7.2 kg/tree as against the 2 kg/tree of the local varieties. ,10-15 kg of farmyard manure or compost annually is generally recommended forcashew.,Organochlorine pesticide are used as Pesticide.,"Suitable zone in Karnataka are Dakshina Kannada,Udupi, Belgaum, Chickballapur, Uttara Kannada, Kodagu and Kolar.",Proanthocyanidins are a class of flavonols which fight against tumor cells by stopping them to divide further. Healthy Heart: Lowers High Blood PressureProanthocyanidins are a class of flavonols which fight against tumor cells by stopping them to divide further. Healthy Heart: Lowers High Blood Pressure,
Coconut,West Coast Tall,A well distributed rainfall of 1300 – 2300 mm per annum is preferred,Thrive well under different soil conditions varying from littoral sands to red loams and laterites.,An adult palm requires 600 to 800 litres of water once in four to seven days.,The sowing time is throught the year.,It begins to bear in about 8 to 10 years after planting,Coconut trees to an extent of 69 trees in one acre of land,"The average yield per hectare varies from 10,000 to 14,000 nuts per annum.",A foliar fertilizer is the best method for application. ,Hanging two plastic bottles (200 mg. capacity) with the help of a strong plastic yarn or twine yarn filled with kerosene would prevent the insecticide.,It is grown all around Kranataka.,"It can grow well up to an altitude of 3,000 ft. above the sea level. It is fairly resistant to diseases and pests. The tree attains a height of about 15m to 18m or more",
Coconut,Tiptur Tall,A well distributed rainfall of 1300 – 2300 mm per annum is preferred,Thrive well under different soil conditions varying from littoral sands to red loams and laterites.,An adult palm requires 600 to 800 litres of water once in four to seven days.,The sowing time is throught the year.,It begins to bear in about 8 to 10 years after planting,Coconut trees to an extent of 69 trees in one acre of land,"The average yield per hectare varies from 10,000 to 14,000 nuts per annum.",A foliar fertilizer is the best method for application. ,Hanging two plastic bottles (200 mg. capacity) with the help of a strong plastic yarn or twine yarn filled with kerosene would prevent the insecticide.,It is grown all around Kranataka.,"It can grow well up to an altitude of 3,000 ft. above the sea level. It is fairly resistant to diseases and pests. The tree attains a height of about 15m to 18m or more",
Coconut,Chandrakalpa,A well distributed rainfall of 1300 – 2300 mm per annum is preferred,Thrive well under different soil conditions varying from littoral sands to red loams and laterites.,An adult palm requires 600 to 800 litres of water once in four to seven days.,The sowing time is throught the year.,It begins to bear in about 8 to 10 years after planting,Coconut trees to an extent of 69 trees in one acre of land,"The average yield per hectare varies from 10,000 to 14,000 nuts per annum.",A foliar fertilizer is the best method for application. ,Hanging two plastic bottles (200 mg. capacity) with the help of a strong plastic yarn or twine yarn filled with kerosene would prevent the insecticide.,It is grown all around Kranataka.,"It can grow well up to an altitude of 3,000 ft. above the sea level. It is fairly resistant to diseases and pests. The tree attains a height of about 15m to 18m or more",
Coconut,VPM – 3,A well distributed rainfall of 1300 – 2300 mm per annum is preferred,Thrive well under different soil conditions varying from littoral sands to red loams and laterites.,An adult palm requires 600 to 800 litres of water once in four to seven days.,The sowing time is throught the year.,It begins to bear in about 8 to 10 years after planting,Coconut trees to an extent of 69 trees in one acre of land,"The average yield per hectare varies from 10,000 to 14,000 nuts per annum.",A foliar fertilizer is the best method for application. ,Hanging two plastic bottles (200 mg. capacity) with the help of a strong plastic yarn or twine yarn filled with kerosene would prevent the insecticide.,It is grown all around Kranataka.,"It can grow well up to an altitude of 3,000 ft. above the sea level. It is fairly resistant to diseases and pests. The tree attains a height of about 15m to 18m or more",
Coconut,Kera Chandra,A well distributed rainfall of 1300 – 2300 mm per annum is preferred,Thrive well under different soil conditions varying from littoral sands to red loams and laterites.,An adult palm requires 600 to 800 litres of water once in four to seven days.,The sowing time is throught the year.,It begins to bear in about 8 to 10 years after planting,Coconut trees to an extent of 69 trees in one acre of land,"The average yield per hectare varies from 10,000 to 14,000 nuts per annum.",A foliar fertilizer is the best method for application. ,Hanging two plastic bottles (200 mg. capacity) with the help of a strong plastic yarn or twine yarn filled with kerosene would prevent the insecticide.,It is grown all around Kranataka.,"It can grow well up to an altitude of 3,000 ft. above the sea level. It is fairly resistant to diseases and pests. The tree attains a height of about 15m to 18m or more",
Arecanuts, South Kanaka,"Grown in areas receiving annual rainfall of 750 mm in Maidan parts of Karnataka to 4,500 mm ",The depth of soil should be at least 1 m with 4.5-7.6 pH., The average CWR is observed to vary from 19 to 23 litres/day for juvenile to adult arecanut crop.,"They are irrigated once in 7 days during November-December, every six days during February and every four days during March-May. ",It starts bearing after 6-7 years of planting.,Average of 550 to 600 arecanut trees in one acre of land.,"The average yield is 1,5 chali/palm/year (7 kg. ripe nuts)."," A fertilizer dose of 100g N, 40g P2O2 and 140g K2O (200g of urea; 200g of rock phosphate and 230 g of muriate of Potash) per palm per year is recommended.","Pesticide required for arecanut Annual application of 100 g N (220 g urea), 40 g P2O5 (200 g rock phosphate) and 140 g K2O (235 g muriate of potash) in addition to 12 kg each of green leaf and compost per palm per year is recommended. ", It is largely grown in South Kanara district of Karnataka," This Areca nuts are chewed with betel leaf for their effects as a mild stimulant, causing a warming sensation in the body ",
Arecanuts,Sree Varjdhan or Rotha,"Grown in areas receiving annual rainfall of 750 mm in Maidan parts of Karnataka to 4,500 mm ",The depth of soil should be at least 1 m with 4.5-7.6 pH., The average CWR is observed to vary from 19 to 23 litres/day for juvenile to adult arecanut crop.,"They are irrigated once in 7 days during November-December, every six days during February and every four days during March-May. ",It starts bearing after 6-7 years of planting.,Average of 550 to 600 arecanut trees in one acre of land.,"The average yield is 1,5 chali/palm/year (7 kg. ripe nuts)."," A fertilizer dose of 100g N, 40g P2O2 and 140g K2O (200g of urea; 200g of rock phosphate and 230 g of muriate of Potash) per palm per year is recommended.","Pesticide required for arecanut Annual application of 100 g N (220 g urea), 40 g P2O5 (200 g rock phosphate) and 140 g K2O (235 g muriate of potash) in addition to 12 kg each of green leaf and compost per palm per year is recommended. ",It is grown extensively in Maland area of Karnataka.," This Areca nuts are chewed with betel leaf for their effects as a mild stimulant, causing a warming sensation in the body ",
